"Unit","Time","PC1","PC2"
8,26,165.742,241.9
8,27,166.244,241.3
8,28,165.976,241
8,29,166.536,240
8,30,167.147,238.8
9,1,158.027,260.1
9,2,157.996,259.9
9,3,157.558,259.7
9,4,157.499,258.1
9,5,158.488,258.5
9,6,158.189,256.6
9,7,159.447,255.8
9,8,158.946,255.3
9,9,159.386,254.3
9,10,159.966,252.8
9,11,160.489,253.7
9,12,159.897,253.2
9,13,160.77,252.4
9,14,160.29,252.5
9,15,160.586,250.8
9,16,162.229,250.1
9,17,162.27,249.5
9,18,162.159,249.7
9,19,161.979,248.1
9,20,163.199,247.4
9,21,162.919,246.7
9,22,162.703,245.8
9,23,163.828,245.9
9,24,164.662,245.5
9,25,166.39,244.9
9,26,165.435,245
9,27,165.964,243.8
9,28,166.902,244.1
9,29,166.625,243.4
9,30,167.116,242.5
